Title,Location,Latitude,Longitude
180,Randall Musuem,37.739795,-122.425578
180,555 Market St.,37.7898899,-122.3999304
180,Mason & California Streets (Nob Hill),37.791835,-122.410818
180,Justin Herman Plaza,37.732743,-122.421741
180,200 block Market Street,37.795219,-122.420782
180,Epic Roasthouse (399 Embarcadero),37.795219,-122.420782
180,City Hall,37.795219,-122.420782
180,Polk & Larkin Streets,37.787279,-122.42002
24 Hours on Craigslist,,37.795219,-122.420782
48 Hours,,37.795219,-122.420782
50 First Dates,Rainforest Café (145 Jefferson Street),37.795219,-122.420782
About a Boy,Crissy Field,37.802934,-122.467274
About a Boy,Powell from Bush and Sutter,37.789225,-122.408595
About a Boy,Broderick from Fulton to McAlister,37.787856,-122.44211
After the Thin Man,Coit Tower,37.795219,-122.420782
A Jitney Elopement,20th and Folsom Streets,37.758896,-122.41469
A Jitney Elopement,Golden Gate Park,37.779564,-122.431952
Alcatraz,Filbert St. from Jones to Mason,37.800547,-122.415943
Alcatraz,Leavenworth from Filbert & Francisco St,37.804143,-122.417763
Alcatraz,Chestnut St. from Larkin to Columbus,37.802695,-122.42148
Alcatraz,Francisco St from Larkin to Polk,37.804143,-122.417763
Alcatraz,Broadway from Mason to Taylor,37.796095,-122.42011
Alcatraz,Taylor St. from Broadway to Filbert,37.79432,-122.413011
Alexander's Ragtime Band,Cliff House (1090 Point Lobos Avenue),37.795219,-122.420782
Alexander's Ragtime Band,San Francisco Bay,37.795219,-122.420782
Alexander's Ragtime Band,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.738952,-122.425815
All About Eve,Curran Theater (445 Geary Street),37.795219,-122.420782
American Graffiti,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",37.795219,-122.420782
American Graffiti,3355 Geary Blvd.,37.7811714,-122.4548798
American Yearbook,,37.795219,-122.420782
A Night Full of Rain,Embarcadero Freeway,37.794996,-122.394324
A Night Full of Rain,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.738952,-122.425815
A Night Full of Rain,San Francisco Chronicle (901 Mission Street at 15th Street),37.795219,-122.420782
A Night Full of Rain,Broadway (North Beach),37.796095,-122.42011
Another 48 Hours,,37.795219,-122.420782
Ant-Man,Intersection of California at Polk,37.795219,-122.420782
Ant-Man,Grant between Bush and Broadway,37.797821,-122.407016
Ant-Man,Intersection of Broadway at Kearney,37.795219,-122.420782
Ant-Man,Market between Stuart and Van Ness,37.775645,-122.418703
Ant-Man,"Treasure Lisland, Building #1, Ave of the Palms",37.791128,-122.40113
Ant-Man,Conzelman Rd at McCollough Rd and down Concelman Rd.,37.795219,-122.420782
Ant-Man,Lombard at Hyde,37.801995,-122.419614
Ant-Man,601 Buena Vista Ave West at Java St.,37.766954,-122.443694
Ant-Man,420 Jones St. at Ellis St.,37.784866,-122.412782
Ant-Man,Broadway between Powell and Davis,37.798881,-122.398696
Ant-Man,Columbus between Bay and Washington,37.795532,-122.403317
Ant-Man,California between Kearney and Davis,37.793509,-122.397607
Ant-Man,Pine between Kearney and Davis,37.795219,-122.420782
Around the Fire,Ocean Beach,37.726785,-122.466073
A Smile Like Yours,75 California Street,37.793546959184,-122.39730895918
A Smile Like Yours ,Grace Cathedral Episcopal Church (1100 California Street),37.775607,-122.415485
A Smile Like Yours ,Hills Brothers Plaza (Embarcadero at Harrison Street),37.795219,-122.420782
A Smile Like Yours ,San Francisco International Airport,37.795219,-122.420782
Attack of the Killer Tomatoes,Hyde Street Cable Car,37.794567,-122.418112
A View to a Kill,Chinatown,37.794993,-122.40767
A View to a Kill,"Burger Island (901 3rd Street, China Basin)",37.795219,-122.420782
A View to a Kill,Van Ness Avenue,37.788489,-122.421949
A View to a Kill,Taylor and Jefferson Streets (Fisherman's Wharf),37.808214,-122.415802
A View to a Kill,City Hall,37.795219,-122.420782
A View to a Kill,Port of San Francisco ,37.795219,-122.420782
A View to a Kill,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",37.795219,-122.420782
A View to a Kill,Golden Gate Bridge,37.810977,-122.477578
